,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
0,1152059323595366400,"RT @Mahijasnoor: #SecretOfHappyLife
Saint Dr. @Gurmeetramrahim singh insan g says that meditation is the key of success. If you do medition…",1,0,Twitter for Android,2019-07-19 03:35:21,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
1,1152059300228894722,"#SecretOfHappyLife
Thanks for great guidance saint Dr. @gurmeetramrahim ji Insan
has tough method of meditation
 to… https://t.co/eolCMA1CTl",0,0,Twitter Web App,2019-07-19 03:35:16,1014155809171767296,RojiInsan,Roji INSAN,2018-07-03 14:36:01,spiritual.. believe in GOD,16,2,pipli haryana,
2,1152059291118923776,"RT @Mamtaverma761: @Gurmeetramrahim ji gave healthy happy life tips , says by practicing  meditation one can  live a peaceful life and incr…",1,0,Twitter for Android,2019-07-19 03:35:13,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
3,1152059278330458112,"RT @ImSuresh_insan: #SecretOfHappyLife
@derasachasauda

  *Meditation is a tool that helps us to gradually transform into our best self. 
R…",35,0,Twitter for Android,2019-07-19 03:35:10,800688115367047168,shaileshinsha5,Shailesh insan,2016-11-21 13:11:37,Law Student,287,246,,
4,1152059277223194625,"#SecretOfHappyLife
According to the words of the doctor, Saint Ram Rahim ji 🙏, positive thinking should always be o… https://t.co/JVl3GfZ09i",1,0,Twitter for Android,2019-07-19 03:35:10,753971888330838020,Rajniin48551148,🎸!!MSG 📚Ki 📚L😘😘dd👰!!🎸,2016-07-15 15:18:01,Member of Shah Satnam  ji Green s Welfare Force Wing,3755,57,"(श्री सुनारिया धाम, रोहतक,HR.)",
5,1152059275885236224,RT @Gayatri81181212: #SecretOfHappyLife by @derasachasauda the inner joy resides within has to practice meditation. https://t.co/cDrBrR5VgA,2,0,Twitter for Android,2019-07-19 03:35:10,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
6,1152059267605659648,RT @k_somya1: #SecretOfHappyLife lies in the fact that how much a person is content with what he already have. And this content come only b…,1,0,Twitter for Android,2019-07-19 03:35:08,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
7,1152059265403592705,"#SecretOfHappyLife Quiting Intoxicants
#RadhaSoami_Exposed https://t.co/8xrEZqTKwE",0,0,Twitter for Android,2019-07-19 03:35:07,1145737375240392705,Nidhi_1567,Nidhi,2019-07-01 16:54:11,,34,18,India,
8,1152059254880129031,"RT @OfficialMSGfc: #SecretOfHappyLife

Everyone wants inner joy, self confidence and happiness, but no one really wants to work for it! 

T…",23,0,Twitter for Android,2019-07-19 03:35:05,800688115367047168,shaileshinsha5,Shailesh insan,2016-11-21 13:11:37,Law Student,287,246,,
9,1152059248295022599,RT @Gayatri81181212: #SecretOfHappyLife by @derasachasauda the inner joy resides within has to practice meditation. https://t.co/cDrBrR5VgA,2,0,Twitter for Android,2019-07-19 03:35:03,1130106928795750400,Gayatri81181212,Gayatri,2019-05-19 13:44:23,,7,41,,
10,1152059240288096256,"RT @Mmena16917297: #SecretOfHappyLife
 If you do method of meditation in early morning every day then  your all day is happy. https://t.co/…",14,0,Twitter for Android,2019-07-19 03:35:01,800688115367047168,shaileshinsha5,Shailesh insan,2016-11-21 13:11:37,Law Student,287,246,,
11,1152059239667388418,"RT @OfficialMSGfc: #SecretOfHappyLife

Everyone wants inner joy, self confidence and happiness, but no one really wants to work for it! 

T…",23,0,Twitter for Android,2019-07-19 03:35:01,1148249934971297792,JBINSAN1,Love Mahi,2019-07-08 15:18:12,,9,28,,
12,1152059236274192384,"RT @RekhaIn62705258: #SecretOfHappyLife
@derasachasauda
@Gurmeetramrahim ji
 Meditation is a tool that helps us to gradually transform into…",46,0,Twitter for Android,2019-07-19 03:35:00,1052949582504579072,gulshaninsanyn2,@gulshaninsanynr,2018-10-18 15:48:38,,29,52,yamuna Nagar Haryana,
13,1152059229533921282,"RT @ImSuresh_insan: #SecretOfHappyLife
@derasachasauda

  *Meditation is a tool that helps us to gradually transform into our best self. 
R…",35,0,Twitter for Android,2019-07-19 03:34:59,1107948924118032385,Ladoo_10,J@s🌹Mehra,2019-03-19 10:16:22,"I love😘 India🇨🇮
my qualifications 👉graduate, com. diploma
🤗my hobbies are
* dance💃
*cooking,🥗🥘
* reading books 📖📕
🤗 I love sweet laugage 🍫🍬🍮",105,129,"Bathinda, India",
14,1152059228141436928,"RT @Rajniin48551148: #SecretOfHappyLife
To acheive inner Joy,one has to practice meditation.For eg, if you search ghee is nor outside,it is…",2,0,Twitter for Android,2019-07-19 03:34:58,1148249934971297792,JBINSAN1,Love Mahi,2019-07-08 15:18:12,,9,28,,
15,1152059189587410945,RT @MalaRani141: #SecretOfHappyLife always be positive if you will be positive then you will do a good meditation that will improve your li…,23,0,Twitter for Android,2019-07-19 03:34:49,800688115367047168,shaileshinsha5,Shailesh insan,2016-11-21 13:11:37,Law Student,287,246,,
16,1152059181366517762,"RT @InsanRajni786: // Do continue meditation in morning and evening, one can get rid of bad habits and enjoy happiness in your mind.

It's…",4,0,Twitter for Android,2019-07-19 03:34:47,1127828249596317698,AnshuRoma,Anshu Gadai Insan Roma,2019-05-13 06:49:43,roma italy,43,48,,
17,1152059173615521793,"#RadhaSoami_Exposed
Radha Swami Panth's head Seth Shiv Dayal ji himself became a ghost and entered his disciple Buk… https://t.co/PRFeSRL9r1",0,0,Twitter for Android,2019-07-19 03:34:45,1142290426126188544,Mkumar_Mkumar,Mkumar,2019-06-22 04:37:15,"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.",52,36,"Jaipur, India",
18,1152059160848035841,#SecretOfHappyLife lies in the fact that how much a person is content with what he already have. And this content c… https://t.co/9YiNnJHqLn,1,0,Twitter for Android,2019-07-19 03:34:42,1129606908120162306,k_somya1,Prince Bhadurpuria,2019-05-18 04:37:28,,0,13,,
19,1152059159195471872,"RT @MissKomal777: #SecretOfHappyLife
Self Confidence ✊✊👍👍
Build Your Self Confidence With Meditation 🙏🙏🙏 most Secret 😊 @Gurmeetramrahim @de…",5,0,Twitter for Android,2019-07-19 03:34:42,1148249934971297792,JBINSAN1,Love Mahi,2019-07-08 15:18:12,,9,28,,
20,1152059130523181058,"RT @GurkaranInsan47: #SecretOfHappyLife
Meditation protect us from negative power, and promote positive confidence inside us https://t.co/e…",18,0,Twitter for Android,2019-07-19 03:34:35,1127828249596317698,AnshuRoma,Anshu Gadai Insan Roma,2019-05-13 06:49:43,roma italy,43,48,,
21,1152059126786035712,"RT @AroraKasturi: of happiness. On reciting God’s words one would surely become worthy of bliss”, said Saint Dr.@Gurmeetramrahim  Ji Insan …",8,0,Twitter for Android,2019-07-19 03:34:34,1148249934971297792,JBINSAN1,Love Mahi,2019-07-08 15:18:12,,9,28,,
22,1152059113397874689,RT @SanikaRanade: Good Morning! 🍵 #SecretOfHappyLife #FridayThoughts #FridayFeeling https://t.co/9iECmGohse,1,0,Twitter for Android,2019-07-19 03:34:31,55255433,romram75,Rockʞstar Rosario ツ,2009-07-09 14:48:01,"ツ Hello Everyone this is RomRam75 ☜═㋡ ツ , ⏠⏝⏠⎠I am not a Freak I am Unique... :)
Me Love all  :) Hack The Planet My Motto :) \m/ My Life My Way ツ. My Destiny",665,2413,India(Mumbai),
23,1152059111866949632,#SecretOfHappyLife by @derasachasauda the inner joy resides within has to practice meditation. https://t.co/cDrBrR5VgA,2,1,Twitter for Android,2019-07-19 03:34:31,1130106928795750400,Gayatri81181212,Gayatri,2019-05-19 13:44:23,,7,41,,
24,1152059108138184705,"RT @Khajan97477749: #secretofhappylife
Smile often, think positively, give thanks, laugh loudly, love others, dream big. #SecretOfHappyLife…",12,0,Twitter for Android,2019-07-19 03:34:30,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
25,1152059106569543682,"@Gurmeetramrahim ji gave healthy happy life tips , says by practicing  meditation one can  live a peaceful life and… https://t.co/p3tSbfDLEB",1,0,Twitter for Android,2019-07-19 03:34:29,1131502985828134912,Mamtaverma761,Mamtaverma@76,2019-05-23 10:11:48,,0,7,,
26,1152059098084470784,RT @Insan13Vaishali: #SecretOfHappyLife @Gurmeetramrahim Singh ji Insan has provided us with precious method of meditation which has helped…,23,0,Twitter for Android,2019-07-19 03:34:27,1148249934971297792,JBINSAN1,Love Mahi,2019-07-08 15:18:12,,9,28,,
27,1152059080019570688,"RT @InsanKrishma: #SecretOfHappyLife
God’s words provide self confidence and eternal peace which cannot be acquired by any other means.
@Gu…",19,0,Twitter for Android,2019-07-19 03:34:23,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
28,1152059065851187200,"RT @shaileshinsha5: #Good_Morning Guru pa @Gurmeetramrahim ji
Dhan Dhan Satguru Tera Hi Aasra
Plz bless me to do sumiran maximum nd bless m…",34,0,Twitter for Android,2019-07-19 03:34:20,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
29,1152059050495840256,"RT @shaileshinsha5: #SecretOfHappyLife
@derasachasauda
Meditation is only the way which make changes in ur life. Saint Dr @Gurmeetramrahim…",30,0,Twitter for Android,2019-07-19 03:34:16,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
30,1152059050298712064,RT @anshi_insan: #SecretOfHappyLife* Meditation is a tool that helps us to gradually transform into our best self. Saint Dr @Gurmeetramrahi…,8,0,Twitter for Android,2019-07-19 03:34:16,1048089498318331904,SeemaIn71683082,Seema Insan,2018-10-05 05:56:23,MSG KI LAADLI,23,10,"हरियाणा, भारत",
31,1152059041809461250,RT @its_vicky27: Meditation is a tool that helps us to gradually transform into our best self. Saint Dr Gurmeet Ram Rahim Singh Ji Insan ha…,28,0,Twitter for Android,2019-07-19 03:34:14,751438160433930240,anmol46725,Anmol,2016-07-08 15:29:53,"🙏ਸਤਿਗੁਰ ਜੀ ਤੇਰੇ ਪਿਆਰ 🌨️ਬਰਸਾਤ ਹੁੰਦੀ ਰਹੇ, ਇਕ ਪਲ ਰੁਕੇ ਸ਼ਹਿਨਸ਼ਾਹ 🌅✨ਦਿਨ ਰਾਤ ਹੁੰਦੀ ਰਹੇ ।💐 Love you 💚🌹 Dr msg 💐papa 🌹ji💐🌹",3068,160,"Punjab, India",
32,1152059027506884609,"#SecretOfHappyLife Choosing Right Guru.
#RadhaSoami_Exposed https://t.co/NdcYvIvibx",0,0,Twitter for Android,2019-07-19 03:34:11,1145737375240392705,Nidhi_1567,Nidhi,2019-07-01 16:54:11,,34,18,India,
