,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
0,1152616649146523649,"RT @_saurabhbandari: The story of Irritated Husband 😫
https://t.co/0YvxzXi2kQ

#Thala #NerKondaPaarvai #ShielaDixit #14YearsOfAnushkaShetty…",3,0,Twitter for Android,2019-07-20 16:29:58,1071620907053936641,MrAvatar8,🔰ond thalafansclub🔰 ᴺᴷᴾ,2018-12-09 04:21:48,Delta thala fan.  Thanjavur   orathanadu   thala  fans association,186,731,"Thanjavur, India",
1,1152616523162214400,"RT @Anupkhamarubjp: Mamta Banerjee TMC goons have injured ABVP activists Rahul Mondal and Tapan
Hawladar in a bomb blast. Your goons have u…",52,0,Twitter for Android,2019-07-20 16:29:28,1122113451143258117,ASHISHRAMCHAN20,ASHISH YADUVANSHI,2019-04-27 12:21:09,"student,Fan of narendra modi,Heart belongs to prayagraj",24,45,"Mumbai, India",
2,1152616464861388801,"RT @Ishrat_Official: Bomb hurled at ABVP leader of kalyani Mahavidyalaya, Nadia, W.B by TMCP, student wing of Trinamool Congress.
He is ser…",408,0,Twitter for Android,2019-07-20 16:29:14,1141975440367636480,AnkurSh49976073,Ankur Shukla,2019-06-21 07:45:36,Engineer,3,44,,
3,1152616461774360578,"RT @Ishrat_Official: Bomb hurled at ABVP leader of kalyani Mahavidyalaya, Nadia, W.B by TMCP, student wing of Trinamool Congress.
He is ser…",408,0,Twitter for Android,2019-07-20 16:29:13,383689333,NaveenKoti,Naveen Koti🇮🇳,2011-10-02 10:06:26,Modified since 2014,261,836,"Dharwad,Karnataka",
4,1152616071058186242,"RT @SouleFacts: Very sad to see, ABVP activist Tarak Hawladar &amp; Rahul Mondal has been seriously injured by the bomb blast
done by the TMC g…",55,0,Twitter for iPad,2019-07-20 16:27:40,143796418,nsrajagopalan,rajagopalan,2010-05-14 12:20:12,,10,99,,
5,1152616014288261120,"RT @ArjunsinghWB: Continuing trend of terrorising people,#TMC goons nw target Kalyani Mahavidyalaya,hurl bombs.2ABVP karyakartas badly inju…",39,0,Twitter for Android,2019-07-20 16:27:27,2907979356,saffronhunk,Saffron Hunk,2014-11-23 10:39:17,,67,787,,
6,1152615989881606144,"RT @Ishrat_Official: Bomb hurled at ABVP leader of kalyani Mahavidyalaya, Nadia, W.B by TMCP, student wing of Trinamool Congress.
He is ser…",408,0,Twitter Web App,2019-07-20 16:27:21,1148673453551017984,Kumari__shreya,Shreya kumari,2019-07-09 19:21:07,"अहिंसा परमो धर्मं, धर्मं हिंसा तथैव च:|
मांग रही हूं वचन #राम से मुझको #भारत_मात मिले ,
हर जनम में #हिन्दू नाम मिले हर जनम में #हिंदुस्तान मिले!!🚩",19,52,India,
7,1152615965928017920,"RT @Ishrat_Official: Bomb hurled at ABVP leader of kalyani Mahavidyalaya, Nadia, W.B by TMCP, student wing of Trinamool Congress.
He is ser…",408,0,Twitter for Android,2019-07-20 16:27:15,1044992280644349953,Tarun_1196,Tarun,2018-09-26 16:49:09,Here to Learn,86,426,,
8,1152615916120629248,"RT @Gargi_Abvpwb: From killing innocent students using police force to terrorising common students in campus with bombing, is showing how d…",15,0,Twitter for Android,2019-07-20 16:27:03,3038588235,elit_biswas,elit biswas,2015-02-15 09:27:52,12\04\1997,20,144,,
9,1152615882406809600,"RT @Ishrat_Official: Bomb hurled at ABVP leader of kalyani Mahavidyalaya, Nadia, W.B by TMCP, student wing of Trinamool Congress.
He is ser…",408,0,Twitter Web App,2019-07-20 16:26:55,807087265142947840,drhksaxena,The scorpion warrior,2016-12-09 04:59:33,"A doctor and an activist, fighting death on daily basis..Proud Hindu and Right Winger... Always supports the truth.. Caution:- Don't mess with me",20,71,Rajasthan,
10,1152615858109210625,Rahul Mondal has been seriously injured by the Bom blust done by the TMC goons in Kalyani College. He is now admitt… https://t.co/bBwBZscukp,0,0,Twitter for iPhone,2019-07-20 16:26:49,2241132932,drjmnayak,DrJyotirmaya Nayak,2013-12-11 17:46:43,"Assistant Professor At SCB Medical College Cuttack ,,, National Patron MeDeVission ,,,, OMSA State Vice President",368,313,"SCB Medical College, Cuttack",
11,1152615545130237952,RT @aurobindadt: In last 8 years in the state West Bengal TMC Government  led by Mamata Banerjee has been running like ISIS rules. Video To…,72,0,Twitter for Android,2019-07-20 16:25:35,1115878028578643968,ABVPCuttack,ABVP Cuttack,2019-04-10 07:23:48,world's largest student organization- @abvpodisha ||National handle @abvpvoice||RTs not endorsements||,50,42,,
12,1152615511202521089,RT @ABVPBanga: 13 Karyakarta of ABVP have been arrested today in Kolkata for protesting against the Bomb Blast and attack by TMC goons in K…,162,0,Twitter Web App,2019-07-20 16:25:27,2939299646,munna_sing,Manobendra singha,2014-12-22 11:41:08,23th octobor,14,29,,
13,1152615387588112389,TMC is now out for blood! @abvpvoice activists Rahul Mondal and Tarak Hawladar were injured in a bomb hurled by TMC… https://t.co/BEYW9r7Tec,0,1,Twitter for iPhone,2019-07-20 16:24:57,1047773429720633345,lakhvinderloha2,lakhvinder lohani,2018-10-04 09:00:27,Nationalist #proudindian #sportspysio state convener @MeDevisionOrg #ABVP देश हमें देता हे सबकुछ हम भी कुछ देना शिखे General secretary Rohtak (ABVP),72,268,"Haryana, India",
14,1152615360832475136,"RT @ABVPVoice: TMC has blood on its hands! 

Last year, adhering to TMC Govt’s orders, WB Police fired bullets at innocent students demandi…",78,0,Twitter for Android,2019-07-20 16:24:51,2294670427,ravivojas,Ravichandra,2014-01-16 16:08:24,Politician | @ABVPVoice Ex State Secretary Karnataka| Former Syndicate Member Mangalore University | Practicing Advocate,979,941,mangalore,
