,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
0,1152610425009127425,"RT @_harpreet_5: #PassionForHumanity
Saint Dr. @Gurmeetramrahim Singh Ji insan has encouraged many of his followers to do welfare works.
@d…",20,0,Twitter for Android,2019-07-20 16:05:14,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
1,1152610416670851072,"RT @ManishKasaur: #PassionForHumanity

My country is the world, and my religion is to do good. ... With the inspiration of Saint MSG his fo…",80,0,Twitter for Android,2019-07-20 16:05:12,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
2,1152610415077199878,"RT @sapna_asija: #PassionForHumanity
Serving humanity is serving God. Saint Dr @GurmeetRamRahim Singh Ji Insan encourages His millions of f…",28,0,Twitter for Android,2019-07-20 16:05:12,1141028149771350018,NahalRashpal,Rashpal Singh,2019-06-18 17:01:24,Dhan Dhan Satguru Tera Hi Asra,20,42,"London, England",
3,1152610413072097280,"RT @Manishrania: #PassionForHumanity
Keeping this in mind, the child is the future of our country, the saint Dr @Gurmeetramrahim ji
Moving…",23,0,Twitter for Android,2019-07-20 16:05:11,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
4,1152610409276329984,"RT @Harshit05353303: #PassionForHumanity
Followers of @derasachasauda Very dedicated towads serving humanity https://t.co/W9LdvGspUE",4,0,Twitter for Android,2019-07-20 16:05:10,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
5,1152610402934460417,"RT @MeenuIn50: #PassionForHumanity
Under the guidance of St.@Gurmeetramrahim ji insa volunteers of @derasachasauda are always ready to help…",6,0,Twitter for Android,2019-07-20 16:05:09,4477573752,pawan_insan02,Pawan!!,2015-12-06 18:20:07,Accountant || Dreamer || Lover,475,801,India,
6,1152610401873305602,"RT @aman_insan01: Saint Dr.@Gurmeetramrahim ji insan motivate thousands of their followers to serve humanity
#PassionForHumanity inside the…",6,0,Twitter for Android,2019-07-20 16:05:08,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
7,1152610401672028161,"RT @Sudesh89152958: #PassionForHumanity
Following the teachings of Saint Dr Gurmeet Ram Rahim Singh Ji Insan, a Dera volunteers donated blo…",5,0,Twitter for Android,2019-07-20 16:05:08,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
8,1152610380134277120,"RT @imVikram__insan: #PassionForHumanity
Serving humanity is serving God. Saint Dr @GurmeetRamRahim Singh Ji Insan encourages His millions…",75,0,Twitter for Android,2019-07-20 16:05:03,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
9,1152610374509719552,"RT @DeepBra08886447: #PassionForHumanity
@derasachasauda dera scha Sauda volunteers take every possible step to help every needy that they…",11,0,Twitter for Android,2019-07-20 16:05:02,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
10,1152610374400663552,"RT @Paak_Mohobbat: #PassionForHumanity  is praiseworthy among volunteers of @derasachasauda ✌️
They are rocking everywhere .... https://t.c…",35,0,Twitter for Android,2019-07-20 16:05:02,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
11,1152610369912786944,"RT @LadliPAPAki1: #PassionForHumanity
True Spiritual Master of millions, Saint Dr @Gurmeetramrahim  Singh Ji Insan encourages the followers…",28,0,Twitter for Android,2019-07-20 16:05:01,4477573752,pawan_insan02,Pawan!!,2015-12-06 18:20:07,Accountant || Dreamer || Lover,475,801,India,
12,1152610364191694849,"RT @Sherni_15: #PassionForHumanity
@derasachasauda volunteers distributed stationary items to needy childrens. https://t.co/iW3dfHsJ0g",16,0,Twitter for Android,2019-07-20 16:04:59,1003046056525848576,DeviCha10252391,💝🐯Guru Ka Diwana🐯💝,2018-06-02 22:49:50,"पल भर लगता है किसी को अपना मानने में
इक उम्र लग जाती है उन्हें जानने में नकाब अच्छाई का रहता है छिपे हुए चेहरे में
देर लग जाती है अक्सर झूठे लोगों को पहचानने मे",751,1154,India,
13,1152610358395203584,RT @Rubisha89028418: #PassionForHumanity @derasachasauda volunteers planted trees at verious places with the inspiration of @SaintDrMSG. ht…,6,0,Twitter for Android,2019-07-20 16:04:58,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
14,1152610350442745856,"RT @Amandeep987655: #PassionForHumanity
In @derasachasauda  volunteers showed by donating food necessarity. https://t.co/Qf1cVQ0IMf",13,0,Twitter for Android,2019-07-20 16:04:56,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
15,1152610347825549312,"RT @RajniArora902: #PassionForHumanity On occasion of son's birthday, @derasachasauda volunteer donated stationary items like notebooks, pe…",53,0,Twitter for Android,2019-07-20 16:04:56,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
16,1152610341005606912,RT @ShaluDh01047474: #PassionForHumanity @derasachasauda welfare Food Bank  Saint Dr @GumeetRamRahim g insan https://t.co/DNuH33jdR2,10,0,Twitter for Android,2019-07-20 16:04:54,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
17,1152610339948597249,"RT @MadanBatra2: #PassionForHumanity
Following the teachings of Saint Dr Gurmeet Ram Rahim Singh ji Insan, a Dera volunteers of block kaith…",27,0,Twitter for Android,2019-07-20 16:04:54,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
18,1152610334072397824,"RT @ItsRenuYadav: #PassionForHumanity among volunteers is reaching at new heights each week. 

Moving on this true path with never ending e…",32,0,Twitter for Android,2019-07-20 16:04:52,4477573752,pawan_insan02,Pawan!!,2015-12-06 18:20:07,Accountant || Dreamer || Lover,475,801,India,
19,1152610329538383873,"RT @InsanNeeru2: #PassionForHumanity
The true spiritual guru of millions of people, Sant Dr @Gurmeetramrahim Singh Ji ins, encourages follo…",42,0,Twitter for Android,2019-07-20 16:04:51,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
20,1152610329358209024,"RT @Insa_vrsha: #PassionForHumanity
.
.
Following the teachings of Saint Dr @Gurmeetramrahim Singh Ji Insan, a Dera Volunteer of Block Kait…",28,0,Twitter for Android,2019-07-20 16:04:51,1141028149771350018,NahalRashpal,Rashpal Singh,2019-06-18 17:01:24,Dhan Dhan Satguru Tera Hi Asra,20,42,"London, England",
21,1152610327181189121,"RT @Insa_vrsha: #PassionForHumanity
.
@derasachasauda volunteers planted trees at various places with the inspiration of Saint Dr @Gurmeetr…",35,0,Twitter for Android,2019-07-20 16:04:51,1003046056525848576,DeviCha10252391,💝🐯Guru Ka Diwana🐯💝,2018-06-02 22:49:50,"पल भर लगता है किसी को अपना मानने में
इक उम्र लग जाती है उन्हें जानने में नकाब अच्छाई का रहता है छिपे हुए चेहरे में
देर लग जाती है अक्सर झूठे लोगों को पहचानने मे",751,1154,India,
22,1152610326027747328,"RT @aman_insan01: #PassionForHumanity
The True Passion of @derasachasauda Volunteers is to serve Humanity Selflessly🙏🙏🙏 https://t.co/Vg7Wzu…",24,0,Twitter for Android,2019-07-20 16:04:50,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
23,1152610316129198085,"RT @InsanNeeru2: #PassionForHumanity
Keeping this in mind, the child is the future of our country, the saint Dr @Gurmeetramrahim ji
Moving…",86,0,Twitter for Android,2019-07-20 16:04:48,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
24,1152610308705275904,"RT @Paak_Mohobbat: In today's time no one think about their family members.
And Volunteers of @derasachasauda are putting milestones in fro…",46,0,Twitter for Android,2019-07-20 16:04:46,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
25,1152610302329946114,"RT @Jass79774175: #PassionForHumanity
Million dera fallowers 🌲 trees planted every places.
@derasachasauda https://t.co/dwMjiDENyV",42,0,Twitter for Android,2019-07-20 16:04:45,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
26,1152610300140519424,"RT @Mamta_Singla9: #PassionForHumanity
  The Dera Sacha Sauda volunteers take every possible step to help every needy that they come across…",17,0,Twitter for Android,2019-07-20 16:04:44,1003046056525848576,DeviCha10252391,💝🐯Guru Ka Diwana🐯💝,2018-06-02 22:49:50,"पल भर लगता है किसी को अपना मानने में
इक उम्र लग जाती है उन्हें जानने में नकाब अच्छाई का रहता है छिपे हुए चेहरे में
देर लग जाती है अक्सर झूठे लोगों को पहचानने मे",751,1154,India,
27,1152610299737976832,"RT @SssSss12435188: #PassionForHumanity
To help the needy peoples the @DeraSachaSauda volunteers are distributed and followed the pious tea…",17,0,Twitter for Android,2019-07-20 16:04:44,1141028149771350018,NahalRashpal,Rashpal Singh,2019-06-18 17:01:24,Dhan Dhan Satguru Tera Hi Asra,20,42,"London, England",
28,1152610287414960129,"RT @dailyDSShashtag: #PassionForHumanity
Use this hashtag and pics tweet now https://t.co/5iwxmpgA00",202,0,Twitter for Android,2019-07-20 16:04:41,3282414344,0ff3403665084e3,Nannu insan,2015-07-17 12:48:08,,502,194,jiwan singh wala. bathinda,
29,1152610274635059200,"RT @NeenaD: #PassionForHumanity
True spiritual master saint Dr.  @Gurmeetramrahim Singh ji insan always encourage the people to serve human…",37,0,Twitter for Android,2019-07-20 16:04:38,1141028149771350018,NahalRashpal,Rashpal Singh,2019-06-18 17:01:24,Dhan Dhan Satguru Tera Hi Asra,20,42,"London, England",
30,1152610273028538368,"RT @Paak_Mohobbat: In today's time no one think about their family members.
And Volunteers of @derasachasauda are putting milestones in fro…",46,0,Twitter for Android,2019-07-20 16:04:38,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
31,1152610264371482625,"RT @Insa_vrsha: #PassionForHumanity
.
@derasachasauda volunteers planted trees at various places with the inspiration of Saint Dr @Gurmeetr…",35,0,Twitter for Android,2019-07-20 16:04:36,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
32,1152610257077702656,"RT @Harwinder__Kaur: Many humanitarian works are being done by volunteers of @derasachasauda , under the pious guidance of Saint Dr @Gurmee…",9,0,Twitter for Android,2019-07-20 16:04:34,712617247542390784,Manpreet_Maan23,Manpreet Kaur Maan,2016-03-23 12:29:26,,1223,46,"Bathinda, India",
33,1152610256037433344,"#PassionForHumanity
The Dera Sacha Sauda volunteers take every possible step to help every needy that they come acr… https://t.co/fjHwsqTAX4",0,0,Twitter for Android,2019-07-20 16:04:34,2589928434,ankitajindal4,ankita jindal,2014-06-26 17:15:17,Student,316,29,"Rori, India",
34,1152610255437586432,"RT @Neetu_raj5: #PassionForHumanity
With the inspiration of saint @Gurmeetramrahim Singh ji dss volunteers do many welfare works like tree…",20,0,Twitter for Android,2019-07-20 16:04:34,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
35,1152610246524690432,"RT @dailyDSShashtag: #PassionForHumanity
Use this hashtag and pics tweet now https://t.co/5iwxmpgA00",202,0,Twitter for Android,2019-07-20 16:04:31,817670826333970432,ShivInsa6,Shiv Insa🌹🌹,2017-01-07 09:54:51,I am son of Msg and member of IT Wing DDS,29,66,"Hoshiarpur,punjab",
36,1152610245895577600,RT @lovepr06246433: #PassionForHumanity True spiritual master of million Saint DrMSG encourages the followers to serve humanity following h…,17,0,Twitter for Android,2019-07-20 16:04:31,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
37,1152610244503019520,"RT @Gurpanthinsan: #PassionForHumanity

 Under the guidance of Saint Dr MSG @Gurmeetramrahim Singh Ji Insan
@derasachasauda volunteers alwa…",2,0,Twitter for Android,2019-07-20 16:04:31,1003046056525848576,DeviCha10252391,💝🐯Guru Ka Diwana🐯💝,2018-06-02 22:49:50,"पल भर लगता है किसी को अपना मानने में
इक उम्र लग जाती है उन्हें जानने में नकाब अच्छाई का रहता है छिपे हुए चेहरे में
देर लग जाती है अक्सर झूठे लोगों को पहचानने मे",751,1154,India,
38,1152610242112262144,"RT @shivam4u4: #PassionForHumanity
Revered Saint Dr. @Gurmeetramrahim Ji Insan ji’s each step is completely dedicated to serve humanity. ht…",16,0,Twitter for Android,2019-07-20 16:04:30,2854859624,Prajapti_govind,गोविंद प्रजापति,2014-10-13 22:04:31,"विश्वगुरू,सोने की चिडिया,मेरा प्यारा भारतवर्ष I

I am fan of Indian Army.
मुझे गर्व है हमारी भारतीय सेना पर I
म.द.वि. रोहतक से स्नातक I",403,70," गोहाना,जिला सोनीपत, भारतवर्ष",
39,1152610237251084290,RT @poonaminsan78: #PassionForHumanity dera sacha sauda volunteers has started food bank for needy peoples.... great job https://t.co/crEju…,7,0,Twitter for Android,2019-07-20 16:04:29,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
40,1152610226874400770,"RT @Dilkhus01401545: #PassionForHumanity 
@Gurmeetramrahim 
@_derasachasauda  everyone who is uder the grace  of god is doing humanitarian…",16,0,Twitter for Android,2019-07-20 16:04:27,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
41,1152610185497718785,RT @MamtaIn43541152: Saint Dr. @Gurmeetramrahim Ji🙏 is The One Under Whose Guidance 134 Welfare Works Started by @derasachasauda World Wide…,29,0,Twitter for Android,2019-07-20 16:04:17,1003046056525848576,DeviCha10252391,💝🐯Guru Ka Diwana🐯💝,2018-06-02 22:49:50,"पल भर लगता है किसी को अपना मानने में
इक उम्र लग जाती है उन्हें जानने में नकाब अच्छाई का रहता है छिपे हुए चेहरे में
देर लग जाती है अक्सर झूठे लोगों को पहचानने मे",751,1154,India,
42,1152610178472112130,RT @mehra_raksha: #passionforhumanity with inspiration of Saint Dr @Gurmeetramrahim ji @derasachasauda followers are doing great works towa…,15,0,Twitter for Android,2019-07-20 16:04:15,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
43,1152610178253987840,"#PassionForHumanity
Serving humanity is serving God. Saint Dr @GurmeetRamRahim Singh Ji Insan encourages His millio… https://t.co/fnIfCeEtVz",0,0,Twitter for Android,2019-07-20 16:04:15,1129576125946974209,PalakMadaan2,Palak Madaan,2019-05-18 02:35:09,God is Love. Love is God,2,9,,
44,1152610171912216576,"RT @InsanNeeru2: The @derasachasauda  volunteers take every possible step to help every needy that they come across. This week, they served…",61,0,Twitter for Android,2019-07-20 16:04:14,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
45,1152610163099983873,"RT @MenuTyagi3: #PassionForHumanity
@derasachasauda 
By walking on the path showcased by Revered Saint Dr. 
@GurmeetRamRahim
 Singh Ji Insa…",2,0,Twitter for Android,2019-07-20 16:04:12,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
46,1152610154816237569,"RT @Anughorela1: #PassionForHumanity
Saint Dr.@Gurmeetramrahim Singh ji Insan motivates to people to donate blood for needy patients. https…",21,0,Twitter for Android,2019-07-20 16:04:10,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
47,1152610150223474688,"RT @shivam4u4: #PassionForHumanity
It would be first of its kind in North India. Notably, Revered Guru ji has donated the earnings of His d…",5,0,Twitter for Android,2019-07-20 16:04:08,2854859624,Prajapti_govind,गोविंद प्रजापति,2014-10-13 22:04:31,"विश्वगुरू,सोने की चिडिया,मेरा प्यारा भारतवर्ष I

I am fan of Indian Army.
मुझे गर्व है हमारी भारतीय सेना पर I
म.द.वि. रोहतक से स्नातक I",403,70," गोहाना,जिला सोनीपत, भारतवर्ष",
48,1152610145626550274,"RT @HarshitaChhab13: At @derasachasauda, people donate everything which they are capable of donating #passionforhumanity as taught by @Gurm…",17,0,Twitter for Android,2019-07-20 16:04:07,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
49,1152610136680103941,"RT @MMuthneja: #PassionForHumanity
@derasachasauda 
@Gurmeetramrahimsinghji
Dera sacha sauda volunteers plants trees at various places with…",21,0,Twitter for Android,2019-07-20 16:04:05,1143220191947419648,MenuTyagi3,Menu Tyagi,2019-06-24 18:11:48,housewife,110,487,,
50,1152610136587821056,"RT @Reennuu1: #PassionForHumanity
Following the teachings of Saint Dr gurmeet ram rahim singh Ji insan,a dera volunteers donated  blood  to…",4,0,Twitter for Android,2019-07-20 16:04:05,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
51,1152610128274739201,"RT @shivam4u4: #PassionForHumanity
Saint Dr. Gurmeet Ram Rahim Singh Ji Insan handed over the cheque of Rs.40 lacs for the establishment of…",5,0,Twitter for Android,2019-07-20 16:04:03,2854859624,Prajapti_govind,गोविंद प्रजापति,2014-10-13 22:04:31,"विश्वगुरू,सोने की चिडिया,मेरा प्यारा भारतवर्ष I

I am fan of Indian Army.
मुझे गर्व है हमारी भारतीय सेना पर I
म.द.वि. रोहतक से स्नातक I",403,70," गोहाना,जिला सोनीपत, भारतवर्ष",
52,1152610125560963072,"RT @BachanKaur7: #PassionForHumanity 
Followers of @derasachasauda distributed stationary items to needy children. https://t.co/fEwJtV6NvH",8,0,Twitter for Android,2019-07-20 16:04:03,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
53,1152610125531586561,"RT @Gurpanthinsan: #PassionForHumanity
 
With inspiration of Saint Dr MSG @Gurmeetramrahim Singh Singh Ji Insan @derasachasauda followers a…",3,0,Twitter for Android,2019-07-20 16:04:03,1003046056525848576,DeviCha10252391,💝🐯Guru Ka Diwana🐯💝,2018-06-02 22:49:50,"पल भर लगता है किसी को अपना मानने में
इक उम्र लग जाती है उन्हें जानने में नकाब अच्छाई का रहता है छिपे हुए चेहरे में
देर लग जाती है अक्सर झूठे लोगों को पहचानने मे",751,1154,India,
54,1152610119961600000,"RT @imVikram__insan: #PassionForHumanity
Serving humanity is serving God. Saint Dr @GurmeetRamRahim Singh Ji Insan encourages His millions…",75,0,Twitter for Android,2019-07-20 16:04:01,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
55,1152610108569862144,"RT @dailyDSShashtag: #PassionForHumanity
Use this hashtag and pics tweet now https://t.co/5iwxmpgA00",202,0,Twitter for Android,2019-07-20 16:03:59,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
56,1152610094967750658,"RT @suresh_insan777: #PassionForHumanity
True spiritual master of millions, Saint Dr.@Gurmeetramrahim Singh ji insan encourages the followe…",63,0,Twitter for Android,2019-07-20 16:03:55,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
57,1152610085266288645,"RT @Mamta_Singla9: #PassionForHumanity
  The Dera Sacha Sauda volunteers take every possible step to help every needy that they come across…",17,0,Twitter for Android,2019-07-20 16:03:53,1143220191947419648,MenuTyagi3,Menu Tyagi,2019-06-24 18:11:48,housewife,110,487,,
58,1152610083743776768,"RT @Insan_MSGkiPari: #PassionForHumanity
The purest service is to work towards welfare of society without expectation of reward ‘If man pay…",65,0,Twitter for Android,2019-07-20 16:03:53,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
59,1152610072050016257,"RT @InsanNeeru2: #PassionForHumanity
Keeping this in mind, the child is the future of our country, the saint Dr @Gurmeetramrahim ji
Moving…",86,0,Twitter for Android,2019-07-20 16:03:50,1146076398458552320,NishaInsan80541,@NishaInsan80545,2019-07-02 15:21:21,Nisha Nisha,14,24,,
60,1152610040626311168,"RT @TamannaInsan16: #PassionForHumanity
True Spiritual Master of millions, Saint Dr @Gurmeetramrahim Singh Ji Insan encourages the follower…",30,0,Twitter Web App,2019-07-20 16:03:42,308201777,13balvinder,💓💕Gurloveleen💞💝,2011-05-31 00:38:12,"Love u dad ♡ forever ♥
υρ.  20.06.2019
ρυиʝαв gσνт. 🇮🇳 
💞💟😘 💖
ਦਿਲ ਦੇ ਨੀ ਮਾੜੇ,
ਨੀ ਪ੍ਰੇਮੀ ਸੱਚੇ ਸੌਦੇ ਵਾਲੇ.
💕❤💗 ❤💕
💝 With MSG
U r my l💗v chargr
fσℓℓσω мє",49,133,"Bathinda, Punjab, India",
61,1152610020825001984,"RT @shaileshinsha5: #PassionForHumanity 
With the guidance of St. Dr. @Gurmeetramrahim Singh ji Insan, 14 needy families were given ration…",46,0,Twitter for Android,2019-07-20 16:03:38,1041658735964315648,Seema13081937,Seema,2018-09-17 12:02:50,,3,72,,
62,1152610009286508544,"RT @MenuTyagi3: #PassionForHumanity
@derasachasauda 
*True Spiritual Master of millions, Saint Dr Gurmeet Ram Rahim Singh Ji encourages the…",1,0,Twitter for Android,2019-07-20 16:03:35,1143220191947419648,MenuTyagi3,Menu Tyagi,2019-06-24 18:11:48,housewife,110,487,,
63,1152610006967001089,"RT @ReenaIn34849963: #PassionForHumanity
True spiritual master saint Dr.  @Gurmeetramrahim Singh ji insan always encourage the people to se…",26,0,Twitter for Android,2019-07-20 16:03:34,2880839971,jatinstan,jatin sagar A+,2014-10-28 13:29:06,mere chalde ne jo sah ohna di iko wajah bus tu bus bus tu ....mere MSG,316,140,mandi gobindgarh,
64,1152609999492767750,"RT @TamannaPapa: #PassionForHumanity
The @deraSachasauda volunteers take every possible step to help every needy that they come across.
Thi…",29,0,Twitter Web App,2019-07-20 16:03:32,308201777,13balvinder,💓💕Gurloveleen💞💝,2011-05-31 00:38:12,"Love u dad ♡ forever ♥
υρ.  20.06.2019
ρυиʝαв gσνт. 🇮🇳 
💞💟😘 💖
ਦਿਲ ਦੇ ਨੀ ਮਾੜੇ,
ਨੀ ਪ੍ਰੇਮੀ ਸੱਚੇ ਸੌਦੇ ਵਾਲੇ.
💕❤💗 ❤💕
💝 With MSG
U r my l💗v chargr
fσℓℓσω мє",49,133,"Bathinda, Punjab, India",
65,1152609997433405440,"RT @MenuTyagi3: #PassionForHumanity
@derasachasauda 
By walking on the path showcased by Revered Saint Dr. 
@GurmeetRamRahim
 Singh Ji Insa…",2,0,Twitter for Android,2019-07-20 16:03:32,1143220191947419648,MenuTyagi3,Menu Tyagi,2019-06-24 18:11:48,housewife,110,487,,
66,1152609986121326592,"RT @MenuTyagi3: #PassionForHumanity
@derasachasauda 
Following the teachings of Saint Dr Gurmeet Ram Rahim Singh ji Insan, a Dera volunteer…",1,0,Twitter for Android,2019-07-20 16:03:29,1143220191947419648,MenuTyagi3,Menu Tyagi,2019-06-24 18:11:48,housewife,110,487,,
67,1152609974599766016,"RT @MeenuIn50: #PassionForHumanity
Under the guidance of St.@Gurmeetramrahim ji insa volunteers of @derasachasauda are always ready to help…",6,0,Twitter for Android,2019-07-20 16:03:27,2866509859,spotted_moon_,🌼Jazzmine🌼,2014-10-20 05:31:09,A Proud MSGian. . ...,3678,78,"Sirsa, India",
68,1152609971613229056,"RT @MenuTyagi3: #PassionForHumanity
@derasachasauda 
Serving humanity is serving God. Saint Dr @GurmeetRamRahim Singh Ji Insan encourages H…",1,0,Twitter for Android,2019-07-20 16:03:26,1143220191947419648,MenuTyagi3,Menu Tyagi,2019-06-24 18:11:48,housewife,110,487,,
69,1152609971185451008,"RT @Priya22977992: #PassionForHumanity 
Distributes food for poor needy peoples by 
@derasachasauda
 volunteers https://t.co/LyZkYAM7NU",19,0,Twitter for Android,2019-07-20 16:03:26,1117310827269369861,Darshan61366738,Darshana Devi,2019-04-14 06:17:14,Teacher,8,3,,
70,1152609969293840384,"RT @InsanManjeet77: #PassionForHumanity
Volunteers distribute the  things to the needy persons under the guidance @Gurmeetramrahim https://…",1,0,Twitter for Android,2019-07-20 16:03:25,3024699769,InsanManjeet77,❤WaitingTo WLcm U❤💐,2015-02-18 03:22:22,"नया दिन ..नयी बातें ..नयी सौगातें
हे मेरे  मालिक.. भजन सुमिरन  बंदगी मे कटे.. 
मेरे दिन मेरी  रातें🙏❤😍",10781,170,Haryana,
71,1152609969012793345,RT @nitumalik35: Under Gudiance Of Saint Dr @Gurmeetramrahim G @derasachasauda Green's Volunteers Reached Bathinda &amp; Give Them Every Possib…,6,0,Twitter for Android,2019-07-20 16:03:25,2880839971,jatinstan,jatin sagar A+,2014-10-28 13:29:06,mere chalde ne jo sah ohna di iko wajah bus tu bus bus tu ....mere MSG,316,140,mandi gobindgarh,
